,Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7
0,neural network,dark matter,black hole,deep learning,magnetic field,natural language,reinforcement learning,machine learning
1,deep neural,star formation,gravitational wave,neural network,phase transition,self supervised,monte carlo,learning algorithm
2,deep neural network,radial velocity,supermassive black hole,machine learning,electronic structure,benchmark dataset,field theory,machine learning algorithm
3,convolutional neural,star forming,supermassive black,learning technique,transition metal,object detection,quantum information,neural network
4,convolutional neural network,stellar mass,primordial black hole,deep learning technique,density functional,compared existing,optimization algorithm,machine learning technique
5,deep learning,emission line,primordial black,learning framework,band gap,attention mechanism,space time,learning technique
6,machine learning,space telescope,event horizon,deep learning framework,band structure,contrastive learning,decision making,artificial intelligence
7,network training,main sequence,hole mass,computer vision,functional theory,knowledge base,convergence rate,random forest
8,network architecture,white dwarf,black hole mass,learning algorithm,density functional theory,self attention,mean field,decision tree
9,network gnns,massive star,scalar field,deep learning algorithm,hall effect,experiment conducted,federated learning,decision making
10,neural network gnns,line sight,binary black,artificial intelligence,spin orbit,multi learning,bayesian inference,learning framework
11,neural network training,globular cluster,binary black hole,learning architecture,principle calculation,weakly supervised,hilbert space,training machine
12,network dnns,near infrared,neutron star,deep learning architecture,transition temperature,shot learning,classical quantum,training machine learning
13,neural network dnns,forming galaxy,dark matter,time consuming,phase diagram,evaluation metric,boundary layer,machine learning framework
14,recurrent neural,star forming galaxy,ad black,ground truth,quantum spin,significant improvement,gravitational wave,federated learning
